reviewDate,score,interval,reviewTime,jpn,partOS,eng,category,agree
45460.58829,good,4,5,アニメが大好きです。,phrase,I love anime.,AC,no
45464.85867,good,12,3.446,アニメが大好きです。,phrase,I love anime.,AC,no
45459.63523,bad,-100,292,あんまり好きじゃないです。,phrase,I don't really like it.,DL,yes
45459.63605,good,-100,8,あんまり好きじゃないです。,phrase,I don't really like it.,DL,yes
45459.64764,good,1,6,あんまり好きじゃないです。,phrase,I don't really like it.,DL,yes
45460.58922,good,4,12,あんまり好きじゃないです。,phrase,I don't really like it.,DL,no
45464.86043,good,11,6.621,あんまり好きじゃないです。,phrase,I don't really like it.,DL,no
45459.67155,bad,-100,249,どうして。,phrase,Why？,DL,yes
45459.67253,good,-100,4,どうして。,phrase,Why？,DL,no
45459.71081,good,1,5,どうして。,phrase,Why？,DL,yes
45460.59058,good,3,6,どうして。,phrase,Why？,DL,yes
45464.85624,good,9,2.963,どうして。,phrase,Why？,DL,yes
45459.63144,good,-100,7,なんさいですか。,phrase,How old are you？,DL,yes
45459.64752,good,1,5,なんさいですか。,phrase,How old are you？,DL,yes
45460.59198,good,4,5,なんさいですか。,phrase,How old are you？,DL,no
45464.86154,good,10,9.055,なんさいですか。,phrase,How old are you？,DL,yes
45459.64747,bad,-100,300,なんていいましたか。,phrase,What did you say？,DL,yes
45459.66846,bad,-100,10,なんていいましたか。,phrase,What did you say？,DL,yes
45459.67175,bad,-100,14,なんていいましたか。,phrase,What did you say？,DL,yes
45459.6727,good,-100,10,なんていいましたか。,phrase,What did you say？,DL,yes
45459.71094,bad,-100,11,なんていいましたか。,phrase,What did you say？,DL,yes
45459.71233,good,-100,6,なんていいましたか。,phrase,What did you say？,DL,yes
45459.72083,good,1,9,なんていいましたか。,phrase,What did you say？,DL,no
45460.59045,good,3,21,なんていいましたか。,phrase,What did you say？,DL,no
45464.85766,good,9,6.019,なんていいましたか。,phrase,What did you say？,DL,yes
45459.62119,bad,-100,300,今どこにいますか。,phrase,Where are you now？,DL,no
45459.62308,good,-100,12,今どこにいますか。,phrase,Where are you now？,DL,no
45459.63172,good,1,13,今どこにいますか。,phrase,Where are you now？,DL,no
45460.58745,good,3,14,今どこにいますか。,phrase,Where are you now？,DL,yes
45464.8578,good,8,4.159,今どこにいますか。,phrase,Where are you now？,DL,yes
45459.67249,good,-100,9,どこにいくんですか。,phrase,Where are you going?,PT,yes
45459.71075,good,1,10,どこにいくんですか。,phrase,Where are you going?,PT,no
45460.5917,good,4,15,どこにいくんですか。,phrase,Where are you going?,PT,yes
45464.85917,good,9,7.556,どこにいくんですか。,phrase,Where are you going?,PT,yes
45459.71249,good,-100,6,いくらですか。,phrase,How much (is this)?,DL,no
45459.72035,good,1,8,いくらですか。,phrase,How much (is this)?,DL,no
45460.58795,good,3,7,いくらですか。,phrase,How much (is this)?,DL,no
45464.09138,good,6,9,いくらですか。,phrase,How much (is this)?,DL,yes
45459.71218,bad,-100,96,げんきんではらいます。,phrase,I will pay in cash.,DL,yes
45459.71438,good,-100,6,げんきんではらいます。,phrase,I will pay in cash.,DL,yes
45459.7238,good,1,5,げんきんではらいます。,phrase,I will pay in cash.,DL,no
45460.58953,good,4,7,げんきんではらいます。,phrase,I will pay in cash.,DL,no
45464.86087,good,8,6.19,げんきんではらいます。,phrase,I will pay in cash.,DL,yes
45459.72465,good,-100,7,カードではらいます。,phrase,I will pay by card.,DL,yes
45459.7251,good,1,5,カードではらいます。,phrase,I will pay by card.,DL,no
45460.58903,good,4,7,カードではらいます。,phrase,I will pay by card.,DL,yes
45464.85926,good,11,2.535,カードではらいます。,phrase,I will pay by card.,DL,yes
45459.67228,good,-100,35,いただきます。,phrase,Thank you for the meal.,DL,yes
45459.71064,good,1,6,いただきます。,phrase,Thank you for the meal.,DL,no
45460.58814,good,3,7,いただきます。,phrase,Thank you for the meal.,DL,yes
45464.85798,good,10,3.753,いただきます。,phrase,Thank you for the meal.,DL,yes
45459.72431,good,-100,14,ごちそうさまでした。,phrase,Thank you for the food.,DL,no
45459.72505,good,1,12,ごちそうさまでした。,phrase,Thank you for the food.,DL,no
45460.58843,good,4,6,ごちそうさまでした。,phrase,Thank you for the food.,DL,yes
45464.86109,good,8,3.938,ごちそうさまでした。,phrase,Thank you for the food.,DL,no
45460.61675,bad,-100,14,しゅみは何ですか。,phrase,What are your hobbies?,DL,yes
45460.63619,good,-100,6,しゅみは何ですか。,phrase,What are your hobbies?,DL,no
45460.64029,good,1,6,しゅみは何ですか。,phrase,What are your hobbies?,DL,yes
45461.72247,good,3,8,しゅみは何ですか。,phrase,What are your hobbies?,DL,yes
45464.86196,good,6,4.305,しゅみは何ですか。,phrase,What are your hobbies?,DL,yes
45460.60725,bad,-100,248,しゅみはギターです。,phrase,My hobby is guitar.,DL,yes
45460.6097,good,-100,144,しゅみはギターです。,phrase,My hobby is guitar.,DL,no
45460.61682,good,1,6,しゅみはギターです。,phrase,My hobby is guitar.,DL,yes
45461.72292,good,4,7,しゅみはギターです。,phrase,My hobby is guitar.,DL,yes
45460.63742,good,-100,4,英語ははねせますか。,phrase,"
Do you speak English？<rp>(</rp>",DL,yes
45460.64022,good,1,6,英語ははねせますか。,phrase,"
Do you speak English？<rp>(</rp>",DL,yes
45461.72237,good,4,20,英語ははねせますか。,phrase,"
Do you speak English？<rp>(</rp>",DL,yes
45460.60249,good,-100,10,すこしはなせます。,phrase,I can speak a little.,DL,yes
45460.61156,good,1,7,すこしはなせます。,phrase,I can speak a little.,DL,yes
45461.72183,good,3,6,すこしはなせます。,phrase,I can speak a little.,DL,yes
45464.86124,good,8,4.741,すこしはなせます。,phrase,I can speak a little.,DL,yes
45460.60019,bad,-100,15,わすれました。。。,phrase,I forgot...,AA,yes
45460.60215,good,-100,7,わすれました。。。,phrase,I forgot...,AA,yes
